"CAD","2010","Q3","0.620499333333333"
"CAD","2010","Q4","0.624614"
"CAD","2011","Q1","0.633188666666667"
"CAD","2011","Q2","0.633372333333333"
"CAD","2011","Q3","0.634008666666667"
"CAD","2011","Q4","0.621674"
"CAD","2012","Q1","0.635293"
"CAD","2012","Q2","0.625446333333333"
"CAD","2012","Q3","0.635821333333333"
"CAD","2012","Q4","0.628099333333333"
"CAD","2013","Q1","0.639366333333333"
"CAD","2013","Q2","0.636212666666667"
"CAD","2013","Q3","0.620689333333333"
"CAD","2013","Q4","0.588670666666667"
"CAD","2014","Q1","0.547939333333333"
"CAD","2014","Q2","0.544850666666667"
"CAD","2014","Q3","0.550379333333333"
"CAD","2014","Q4","0.556316666666667"
"CAD","2015","Q1","0.53225"
"CAD","2015","Q2","0.530762"
"CAD","2015","Q3","0.493514333333333"
"CAD","2015","Q4","0.493776"
"CHF","2006","Q1","0.440061"
"CHF","2006","Q2","0.440044"
"CHF","2006","Q3","0.431159666666667"
"CHF","2006","Q4","0.422470333333333"
"CHF","2007","Q1","0.414770666666667"
"CHF","2007","Q2","0.412042666666667"
"CHF","2007","Q3","0.412915333333333"
"CHF","2007","Q4","0.427643666666667"
"CHF","2008","Q1","0.47381"
"CHF","2008","Q2","0.491801333333333"
"CHF","2008","Q3","0.493105666666667"
"CHF","2008","Q4","0.552425666666667"
"CHF","2009","Q1","0.607127666666667"
"CHF","2009","Q2","0.580959666666667"
"CHF","2009","Q3","0.574004"
"CHF","2009","Q4","0.599266333333333"
"CHF","2010","Q1","0.606438666666667"
"CHF","2010","Q2","0.605517"
"CHF","2010","Q3","0.625301333333333"
"CHF","2010","Q4","0.649353"
"CHF","2011","Q1","0.663161333333333"
"CHF","2011","Q2","0.705193333333333"
"CHF","2011","Q3","0.754173333333333"
"CHF","2011","Q4","0.697418"
"CHF","2012","Q1","0.690878666666667"
"CHF","2012","Q2","0.675131"
"CHF","2012","Q3","0.657847666666667"
"CHF","2012","Q4","0.669029"
