,Currency,Year,Quarter,Rate,meanCurrency,sdCurrency,StandardRate
1432,SAR,2006,Q3,0.142203667,0.164248485,0.01832289,-0.657823592
1436,SAR,2007,Q3,0.131963333,0.164248485,0.01832289,-0.657823592
1445,SAR,2008,Q3,0.141245667,0.164248485,0.01832289,-0.657823592
1417,SAR,2009,Q3,0.162626,0.164248485,0.01832289,-0.657823592
1421,SAR,2010,Q3,0.171981,0.164248485,0.01832289,-0.657823592
1425,SAR,2011,Q3,0.165587333,0.164248485,0.01832289,-0.657823592
1442,SAR,2012,Q3,0.16871,0.164248485,0.01832289,-0.657823592
1414,SAR,2013,Q3,0.171948333,0.164248485,0.01832289,-0.657823592
1437,SAR,2014,Q3,0.159820333,0.164248485,0.01832289,-0.657823592
1451,SAR,2015,Q3,0.172166667,0.164248485,0.01832289,-0.657823592
1428,SAR,2016,Q3,0.203142333,0.164248485,0.01832289,-0.657823592
1431,SAR,2006,Q2,0.146045,0.164248485,0.01832289,-0.657823592
1435,SAR,2007,Q2,0.134294333,0.164248485,0.01832289,-0.657823592
1444,SAR,2008,Q2,0.135277333,0.164248485,0.01832289,-0.657823592
1429,SAR,2009,Q2,0.172476667,0.164248485,0.01832289,-0.657823592
1420,SAR,2010,Q2,0.178834667,0.164248485,0.01832289,-0.657823592
1424,SAR,2011,Q2,0.163492667,0.164248485,0.01832289,-0.657823592
1441,SAR,2012,Q2,0.168535667,0.164248485,0.01832289,-0.657823592
1409,SAR,2013,Q2,0.173643333,0.164248485,0.01832289,-0.657823592
1411,SAR,2014,Q2,0.158403,0.164248485,0.01832289,-0.657823592
1452,SAR,2015,Q2,0.174045,0.164248485,0.01832289,-0.657823592
1427,SAR,2016,Q2,0.186005667,0.164248485,0.01832289,-0.657823592
1443,SAR,2006,Q1,0.152145333,0.164248485,0.01832289,-0.657823592
1434,SAR,2007,Q1,0.136433667,0.164248485,0.01832289,-0.657823592
1447,SAR,2008,Q1,0.134967333,0.164248485,0.01832289,-0.657823592
1450,SAR,2009,Q1,0.185814,0.164248485,0.01832289,-0.657823592
1419,SAR,2010,Q1,0.171142333,0.164248485,0.01832289,-0.657823592
1423,SAR,2011,Q1,0.166467,0.164248485,0.01832289,-0.657823592
1440,SAR,2012,Q1,0.169700667,0.164248485,0.01832289,-0.657823592
1410,SAR,2013,Q1,0.171964333,0.164248485,0.01832289,-0.657823592
1412,SAR,2014,Q1,0.161093667,0.164248485,0.01832289,-0.657823592
1439,SAR,2015,Q1,0.175939,0.164248485,0.01832289,-0.657823592
1413,SAR,2016,Q1,0.186165667,0.164248485,0.01832289,-0.657823592
1473,SEK,2006,Q4,0.073733,0.085915288,0.008354196,-0.657823592
1477,SEK,2007,Q4,0.076302,0.085915288,0.008354196,-0.657823592
1490,SEK,2008,Q4,0.081871333,0.085915288,0.008354196,-0.657823592
